iter	Passed	Remaining
473	661	734
474	662	732
475	664	731
476	665	729
477	665	727
478	666	724
479	667	723
480	668	721
481	669	719
482	670	717
483	670	715
484	671	712
485	680	719
486	688	724
487	688	722
488	689	720
489	690	718
490	690	716
491	691	713
492	691	711
493	692	709
494	693	707
495	693	704
496	694	702
497	695	700
498	695	698
499	696	696
500	697	695
501	698	692
502	699	690
503	700	688
504	700	686
505	701	684
506	701	682
507	702	680
508	703	678
509	704	676
510	704	674
511	705	672
512	706	670
513	706	668
514	707	666
515	708	664
516	708	662
517	709	660
518	710	658
519	710	656
520	711	654
521	712	652
522	713	650
523	714	648
524	714	646
525	715	644
526	716	642
527	716	640
528	717	638
529	718	636
530	718	634
531	719	632
532	720	630
533	720	628
534	723	628
535	736	637
536	737	636
537	738	634
538	739	632
539	739	630
540	740	628
541	740	626
542	741	624
543	742	622
544	743	620
545	743	618
546	744	616
547	744	614
548	745	612
549	746	610
550	746	608
551	747	606
552	748	604
553	749	602
554	749	601
555	750	599
556	750	597
557	751	595
558	752	593
559	752	591
560	753	589
561	753	587
562	754	585
563	755	583
564	757	583
565	758	581
566	759	579
567	759	577
568	760	575
569	760	574
570	761	572
571	762	570
572	763	568
573	763	566
574	764	564
575	764	562
576	765	561
577	766	559
578	766	557
579	767	555
580	767	553
581	768	551
582	769	550
583	769	548
584	770	546
585	771	544
586	772	543
587	772	541
588	773	539
589	774	538
590	775	536
591	776	535
592	777	533
593	777	531
594	778	529
595	778	527
596	779	526
597	779	524
598	780	522
599	781	520
600	781	519
601	782	517
602	782	515
603	783	513
604	784	512
605	784	510
606	785	508
607	786	507
608	787	505
609	787	503
610	788	502
611	789	500
612	789	498
613	790	496
614	790	495
615	791	493
616	792	491
617	792	490
618	793	488
619	794	486
620	794	484
621	795	483
622	796	482
623	797	480
624	798	479
625	799	477
626	799	475
627	800	474
628	800	472
629	801	470
630	802	469
631	802	467
632	803	465
633	803	464
634	804	462
635	805	460
636	806	459
637	806	457
638	807	456
639	807	454
640	808	452
641	809	451
642	809	449
643	810	447
644	811	446
645	812	445
646	812	443
647	813	441
648	814	440
649	814	438
650	815	437
651	816	435
652	816	434
653	817	432
654	818	430
655	818	429
656	819	427
657	819	426
658	820	424
659	821	423
660	822	421
661	822	420
662	823	418
663	824	417
664	824	415
665	837	419
666	844	421
667	844	419
668	845	418
669	846	416
670	846	415
671	847	413
672	847	411
673	848	410
674	848	408
675	849	407
676	850	405
677	850	404
678	851	402
679	851	400
680	852	399
681	853	397
682	853	396
683	854	394
684	855	393
685	872	399
686	874	398
687	874	396
688	875	395
689	876	393
690	876	391
691	877	390
692	877	388
693	878	387
694	879	385
695	879	384
696	880	382
697	880	381
698	881	379
699	882	378
700	882	376
701	883	374
702	883	373
703	884	371
704	885	370
705	886	369
706	887	367
707	888	366
708	889	364
709	889	363
710	890	361
711	891	360
712	891	358
713	892	357
714	893	355
715	893	354
716	894	352
717	894	351
718	895	349
719	896	348
720	896	347
721	897	345
722	897	344
723	898	342
724	899	341
725	899	339
726	900	338
727	901	336
728	902	335
729	903	334
730	904	332
731	904	331
732	905	329
733	905	328
734	906	326
735	907	325
736	907	323
737	908	322
738	908	321
739	909	319
740	910	318
741	910	316
742	911	315
743	912	313
744	912	312
745	913	310
746	914	309
747	914	308
748	915	306
749	916	305
750	917	304
751	918	302
752	918	301
753	919	299
754	919	298
755	920	297
756	921	295
757	922	294
758	922	293
759	923	291
760	924	290
761	924	288
762	925	287
763	926	286
764	926	284
765	927	283
766	927	281
767	928	280
768	929	279
769	930	277
770	931	276
771	932	275
772	933	274
773	934	272
774	934	271
775	935	270
776	936	268
777	936	267
778	937	265
779	937	264
780	938	263
781	939	261
782	939	260
783	940	259
784	941	257
785	941	256
786	942	255
787	942	253
788	943	252
789	944	250
790	959	253
791	960	252
792	961	251
793	962	249
794	962	248
795	963	246
796	964	245
797	964	244
798	965	242
799	965	241
800	966	240
801	966	238
802	967	237
803	968	236
804	968	234
805	969	233
806	970	232
807	970	230
808	971	229
809	971	227
810	972	226
811	973	225
812	973	223
813	974	222
814	975	221
815	976	220
816	977	218
817	977	217
818	978	216
819	978	214
820	979	213
821	980	212
822	980	210
823	981	209
824	981	208
825	982	206
826	983	205
827	983	204
828	984	203
829	984	201
830	985	200
831	986	199
832	986	197
833	987	196
834	987	195
835	992	194
836	1003	195
837	1004	194
838	1005	192
839	1005	191
840	1006	190
841	1006	188
842	1007	187
843	1007	186
844	1008	184
845	1009	183
846	1009	182
847	1010	181
848	1010	179
849	1011	178
850	1012	177
851	1012	175
852	1013	174
853	1014	173
854	1015	172
855	1015	170
856	1016	169
857	1017	168
858	1034	169
859	1035	168
860	1038	167
861	1039	166
862	1040	165
863	1041	163
864	1042	162
865	1043	161
866	1044	160
867	1045	158
868	1046	157
869	1047	156
870	1049	155
871	1054	154
872	1055	153
873	1056	152
874	1057	151
875	1058	149
876	1059	148
877	1059	147
878	1060	146
879	1061	144
880	1062	143
881	1064	142
882	1066	141
883	1083	142
